Data Set,Avg Accuracy,Std. Dev,Optimized Acc,Std. Dev
breast-cancer-wisconsin,0.5352442857903991,0.0,0.5352442857903991,0.0
ecoli,0.14641003460207613,0.0,0.14641003460207613,0.0
haberman,0.584251545283526,0.0,0.584251545283526,0.0
ionosphere,0.5996826026582027,0.0,0.5996826026582027,0.0
iris,0.32222222222222224,0.0,0.31222222222222223,0.0
liver,0.6228358536050844,0.0,0.6020162174008328,0.0
pima_diabetec,0.5296846011131725,0.0,0.5241187384044527,0.0
sonar,0.4943310657596372,0.0,0.48299319727891155,0.0
wine,0.375,0.0,0.38425925925925924,0.0
